0,1,2,3,4,5,6,7,8,9
Topic 1,thoracic,pleural_effusion,lung,indeterminate,age,compression,result,pneumothorax,silhouette,spine
Topic 2,heal,cardiac,rib_fracture,callus,pneumonia,edema,surgery,formation,lung,volume
Topic 3,heart,size,displace,contour,angulation,rib_fracture,surface,appreciate,pleural_effusion,consolidation
Topic 4,consolidation,contour,pleural_effusion,rib,size,identify,heart,pneumonia,silhouette,provide
Topic 5,opacity,rib_fracture,pneumothorax,contour,pleural_effusion,account,lung,bony,hilar,multiple
Topic 6,chest,supine,semi,space,left,lesion,pathologic,project,thorax,consequent
Topic 7,erect,film,semi,chest,base,pre,area,extent,atelectasis,decrease
Topic 8,congestion,silhouette,injury,wire,fluid,site,persist,suture,pain,lung
Topic 9,sternotomy,wire,fracture,pacemaker,enlargement,device,surface,replacement,valve,pneumothorax
Topic 10,demineralization,diffuse,hyperinflate,infection,enlarge,borderline,tortuosity,mid,age,indeterminate
Topic 11,humerus,neck,wedge,air,appearance,mid,deformity,body,volume,displace
Topic 12,increase,vertebral,dextroconvex,scoliosis,blunting,conjunction,diameter,dictation,evaluate,exclude
Topic 13,oblique,shaft,proximal,volume,displace,fracture,heart,contour,lung,present
