0,1,2,3,4,5,6,7,8,9
Topic 1,portable_semi,erect,chest,film,difference,situ,progression,leave,bilateral,technique
Topic 2,consolidation,lobe,pneumothorax,contour,airspace,extent,confluent,dense,dextroscoliosis,represent
Topic 3,lung,consolidation,loss,contour,volume,pleural_effusion,pigtail,edema,decrease,base
Topic 4,pneumothorax,size,predominance,congestion,pleural_effusion,heart,opacity,cardiomegaly,contour,increase
Topic 5,persistent,silhouette,pleural_effusion,consolidation,glass,ground,bone,prominence,correlate,increase
Topic 6,dobbhoff,line,esophagus,curl,consolidation,stomach,air,tube,scoliosis,bilateral
Topic 7,consolidation,tube,terminate,opacity,patchy,include,retrocardiac,collection,vascular,worsen
Topic 8,development,left,air,opacification,assist,haziness,picc,project,resultant,vague
Topic 9,chest,supine,accentuation,thoracolumbar,situ,angle,bilateral,technique,difference,progression
Topic 10,pneumonia,sternotomy,prominent,wire,clip,root,replacement,opacification,diffuse,pneumothorax
Topic 11,atelectasis,support,combination,time,definite,device,effusion,volume,silhouette,contour
Topic 12,opacity,correspond,silhouette,pneumothorax,lobe,region,pleural_effusion,lung,increase,contour
Topic 13,arch,calcification,provide,hemidiaphragm,mild,base,heart,size,lung,silhouette
Topic 14,hilar,xray,lobe,border,pleural_effusion,consolidation,size,chest,thoracolumbar,situ
Topic 15,cardiac,airspace,terminate,opacity,silhouette,diaphragm,course,tube,pleural_effusion,region
Topic 16,redistribution,vein,bronchogram,shift,vessel,course,increase,tube,opacity,stomach
Topic 17,bring,dictation,review,today,basal,vasculature,mild,cardiomegaly,edema,pleural_effusion
Topic 18,appearance,basis,level,obscuration,identify,wall,area,hemidiaphragm,support,device
Topic 19,accentuation,beneath,detect,scoliosis,semi,shape,thoracolumbar,difference,technique,bilateral
Topic 20,accentuation,difference,angle,situ,progression,leave,bilateral,technique,thoracolumbar,shape
Topic 21,accentuation,difference,angle,progression,leave,bilateral,technique,situ,thoracolumbar,semi
