0,1,2,3,4,5,6,7,8,9
Topic 1,tube,line,stomach,svc,end,bibasal,heart_size,moderate,mediastinum,pneumothorax
Topic 2,cardiac_silhouette,opacification,compressive_atelectasis,enlargement,basis,pulmonary_venous_pressure,basilar_atelectasis,elevation,volume_loss,continue_enlargement
Topic 3,extent,area,persist,support_device,atelectasis,severity,endotracheal_tube,retrocardiac,mild_fluid_overload,borderline
Topic 4,atelectasis,opacity,effusion,basal,left_low_lobe,leave_low_lobe,increase,leave_pleural_effusion,progression,pneumonia
Topic 5,bilateral_pleural_effusion,bibasilar_atelectasis,congestive_heart_failure,overlying_atelectasis,increase,moderate_pulmonary_edema,diffuse,edema,worsen,prominent
Topic 6,effusion,increase,bibasilar_atelectasis,collapse,infiltrate,adjacent_atelectasis,degree,consolidation,abnormality,pneumothorax
Topic 7,mild,small_pleural_effusion,cardiomegaly,moderate_pulmonary_edema,congestion,edema,trace_pleural_effusion,bilateral_pleural_effusion,pneumothorace,support
Topic 8,decrease,size,chest,pneumothorax,relevant,volume,leave_pleural_effusion,thoracentesis,overload,drain
Topic 9,left_pleural_effusion,pneumonia,increase,atelectasis,worsen,leave_low_lobe,resection,mark,chronic,loculate
Topic 10,pulmonary_edema,adjacent_atelectasis,bilateral_pleural_effusion,lung_basis,cardiomegaly,heart_failure,pneumonia,moderate_pulmonary_edema_small_bilateral_pleural_effusion,acute,elongation
Topic 11,pulmonary_vascular_congestion,mild_interstitial_edema,bilateral_pleural_effusion,accompany,slightly_increase,persistent,cardiomegaly,trace,confluent,prior
Topic 12,improvement,leave_pleural_effusion,lung,aeration,mediastinum,pneumothorax,persistent,valve,ventilation,apex
Topic 13,pneumonia,focal_consolidation,hernia,bilateral_pleural_effusion,low_lung,costophrenic_angle,blunt,prior_examination,mild_pulmonary_edema_small_bilateral_pleural_effusion,hyperexpansion
Topic 14,interstitial_pulmonary_edema,mild_vascular_congestion,enlarge,severe_pulmonary_edema,retrocardiac_opacity,severe_cardiomegaly,wire,bilateral_pleural_effusion,evident_pneumothorax,cardiomegaly
Topic 15,resolution,recommend,leave_low_lobe,followup,treatment,effusion,difference,low_lobe_collapse,diuresis,repeat
Topic 16,exclude,infection,small_bilateral_effusion,aspiration,left_lung_base,opacity,base,consolidation,atelectasis,correlation
Topic 17,appearance,leave_basilar_atelectasis,chest_tube,stable_small_bilateral_pleural_effusion,removal,exam,prior_exam,left_pleural_effusion,emphysema,air
Topic 18,placement,fracture,left_apical_pneumothorax,pigtail,low_lobe_atelectasis,rib,time,review,positioning,hydropneumothorax
Topic 19,development,mild_bibasilar_atelectasis,associate,layering_pleural_effusion,sternotomy,region,post,process,overt_pulmonary_edema,pulmonary_edema_moderate
Topic 20,mild_pulmonary_edema,acute_cardiopulmonary_process,bilateral_pleural_effusion,small_bilateral_effusion,failure,cardiomegaly,redemonstration,sternum,radiologist,hyperinflation
Topic 21,presence,fluid,apical_pneumothorax,nasogastric_tube,disease,present,provider,refer,nodule,contour
