0,1,2,3,4,5,6,7,8,9
Topic 1,area,support_device,persist,large_pleural_effusion,overt_pulmonary_edema,severity,extent,mild_fluid_overload,atelectasis,moderate_cardiomegaly
Topic 2,pneumonia,focal_consolidation,atelectasis,convincing,edema,mild_left_basal,overt,leave_low_lobe,worrisome,scatter
Topic 3,small_bilateral_pleural_effusion,mild_pulmonary_edema,atelectasis,left_pleural_effusion,interstitial_edema,persistent,pulmonary_vascular_congestion,progression,ett,ganz
Topic 4,effusion,opacification,leave_low_lobe,pulmonary_venous_pressure,basis,cardiac_silhouette,continue_enlargement,worsen,atelectasis,fluid
Topic 5,opacity,exclude,infection,aspiration,patchy,clinical_setting,overlying_atelectasis_underlie_consolidation,atelectasis,increase,moderate
Topic 6,cardiomegaly,mild,left_low_lobe,cardiomediastinal_silhouette,atelectasis,effusion,mild_vascular_congestion,align,sternal_wire,accompany
Topic 7,lung,lung_basis,acute_cardiopulmonary_process,scar,atelectasis,aeration,pneumothorace,hyperinflate,base,component
Topic 8,bilateral_pleural_effusion,enlargement,cardiac_silhouette,atelectasis,enlarge,increase,pulmonary_edema,airspace,artery,basis
Topic 9,low_lung_volume,pulmonary_edema,minimal_retrocardiac_atelectasis,low_lobe_atelectasis,moderate_cardiomegaly,pleural_effusion,setting,pneumonia,mild_retrocardiac_atelectasis,hypoinflate
Topic 10,small_left_pleural_effusion,size,decrease,collapse,left_basal_atelectasis,increase,left_pleural_effusion,atelectasis,left_low_lobe,upper_lobe
Topic 11,pleural_effusion,atelectasis,trace,vasculature,pneumoperitoneum,angle,vascular_congestion,accentuate,congestion,prominence
Topic 12,leave_pleural_effusion,improvement,left_lung_base,atelectasis,relevant,slightly_increase,difference,intraperitoneal,air,pulmonary_edema
Topic 13,retrocardiac,acute,region,process,lung,lung_volume,intubate,abnormality,intrathoracic,infiltrate
Topic 14,mild_bibasilar_atelectasis,definite,rib_fracture,free_air,series,identify,displace,leave_basilar_opacity,consider,beneath
Topic 15,svc,level,terminate,body,correlation,mid,recommend,mild_vascular_congestion,picc_line,et_tube
Topic 16,pulmonary_vascular_congestion,small_pleural_effusion,bibasilar,base,small_bilateral_effusion,atelectasis,ng_tube,widening,opacitie,acute_focal_pneumonia
Topic 17,tube,line,standard,severe_cardiomegaly,placement,tracheostomy,stomach,evident_pneumothorax,nasogastric_tube,mild_pulmonary_vascular_engorgement
Topic 18,mediastinum,bibasal,elevation,stomach,left_hemidiaphragm,dobbhoff,heart_size,pneumothorax,junction,atelectasis
Topic 19,leave_basilar_atelectasis,chest_tube,exam,interstitial_pulmonary_edema,hiatal_hernia,basal,disease,resolution,hyperexpansion,parenchyma
Topic 20,pneumothorax,minimal_bibasilar_atelectasis,pneumomediastinum,removal,fracture,elevate,valve,emphysema,inspiratory,replacement
Topic 21,consolidation,moderate_pulmonary_edema,trace_bilateral_pleural_effusion,bibasilar_subsegmental_atelectasis,trace_leave_pleural_effusion,opacity_potentially_atelectasis,lobar,observation,atelectasis,thickening
