0,1,2,3,4,5,6,7,8,9
Topic 1,edema,pneumonia,cardiomegaly,pleural_effusion,elongation,descending_aorta,mild,pulmonary_edema_moderate,overinflation,relevant
Topic 2,retrocardiac_atelectasis,large_pleural_effusion,overt_pulmonary_edema,moderate_cardiomegaly_persist,support_device,mild_fluid_overload,severity,extent,decrease,parenchymal_opacity
Topic 3,increase,pneumothorax,atelectasis,mediastinum,standard,lead,leave_low_lobe,lung_basis,effusion,pacemaker
Topic 4,pulmonary_venous_pressure,opacification,elevation,continue_enlargement,acute_focal_pneumonia,cardiac_silhouette,vessel,vascular_congestion_pleural_effusion,volume_loss,left_base
Topic 5,mild_pulmonary_edema,acute_cardiopulmonary_process,cardiomegaly,small_bilateral_pleural_effusion,acute_disease,mild,prior,heal,support,versus
Topic 6,size,appearance,project,cardiac_silhouette,complication,course,nasogastric_tube,lung_parenchyma,lung_volume,stomach
Topic 7,heart_size,end,chest,appreciable_pleural_effusion,volume,cardiac_decompensation,line,stomach,standard_placement,vasculature
Topic 8,enlargement,cardiac_silhouette,bilateral_pleural_effusion,pericardial_effusion,basilar_atelectasis,trace,prominent,configuration,definite_acute_focal_pneumonia,basis
Topic 9,bibasilar_atelectasis,hilar_congestion,mild_vascular_congestion,opacity,cardiomegaly,exam,effusion,hiatal_hernia,recommend,aspiration
Topic 10,pulmonary_vascular_congestion,cardiomegaly,terminate,endotracheal_tube,accompany,mild,small_bilateral_pleural_effusion,definite_acute_cardiopulmonary_process,tracheostomy,enlarge_cardiac_silhouette
Topic 11,focal_consolidation,improvement,mildly_enlarge_cardiac_silhouette,definite,edema,enlarge_cardiac_silhouette,rib,pneumonia,fracture,pneumothorace
Topic 12,moderate_pulmonary_edema,small_pleural_effusion,heart_failure,cardiomegaly,worsen,small_bilateral_effusion,hypertension,mild,injury,congestive_heart_failure
Topic 13,consolidation,exclude,infection,persistent,silhouette,surface,contour,failure,collapse,hilar
Topic 14,abnormality,lung,exaggerate,small_left_pleural_effusion,review,prior_chest,vasculature,lymph,mass,node
Topic 15,process,acute,identify,calcification,possibility,infiltrate,raise,emphysema,borderline,background
Topic 16,interstitial_pulmonary_edema,mild,congestive_heart_failure,pulmonary_vascular_engorgement,cardiomegaly,base,time,development,workup,aeration
Topic 17,lung,heart,disease,mildly_enlarge,placement,hyperinflate,midline,dobhoff,picc_line,hyperexpansion
Topic 18,low_lung_volume,stable_mild_cardiomegaly,tortuosity,artery,thoracic_aorta,chronic,vascular_engorgement,fluid_overload,bilateral_area,diffuse
Topic 19,vascular_congestion,stable_moderate_cardiomegaly,accentuate,air,swan,ganz,transverse_diameter,pneumonia,heart,convincing
Topic 20,mild_interstitial_edema,moderate,mark,acute_cardiopulmonary_disease,cardiomegaly,dialysis,physician,trace,pleural_effusion_mild,atelectasis
Topic 21,congestion,overt,redistribution,zone,scar,body,cardiomegaly,deformity,compression,density
Topic 22,prominence,aorta,leave_basilar_atelectasis,thoracic,spine,device,compression,level,blood,fracture
